stage,chain,draw,diverging
base,0,1233,False
base,0,1234,False
base,0,1235,False
base,0,1236,False
base,0,1237,False
base,0,1238,False
base,0,1239,False
base,0,1240,False
base,0,1241,False
base,0,1242,False
base,0,1243,False
base,0,1244,False
base,0,1245,False
base,0,1246,False
base,0,1247,False
base,0,1248,False
base,0,1249,False
base,0,1250,False
base,0,1251,False
base,0,1252,False
base,0,1253,False
base,0,1254,False
base,0,1255,False
base,0,1256,False
base,0,1257,False
base,0,1258,False
base,0,1259,False
base,0,1260,False
base,0,1261,False
base,0,1262,False
base,0,1263,False
base,0,1264,False
base,0,1265,False
base,0,1266,False
base,0,1267,False
base,0,1268,False
base,0,1269,False
base,0,1270,False
base,0,1271,False
base,0,1272,False
base,0,1273,False
base,0,1274,False
base,0,1275,False
base,0,1276,False
base,0,1277,False
base,0,1278,False
base,0,1279,False
base,0,1280,False
base,0,1281,False
base,0,1282,False
base,0,1283,False
base,0,1284,False
base,0,1285,False
base,0,1286,False
base,0,1287,False
base,0,1288,False
base,0,1289,False
base,0,1290,False
base,0,1291,False
base,0,1292,False
base,0,1293,False
base,0,1294,False
base,0,1295,False
base,0,1296,False
base,0,1297,False
base,0,1298,False
base,0,1299,False
base,0,1300,False
base,0,1301,False
base,0,1302,False
base,0,1303,False
base,0,1304,False
base,0,1305,False
base,0,1306,False
base,0,1307,False
base,0,1308,False
base,0,1309,False
base,0,1310,False
base,0,1311,False
base,0,1312,False
base,0,1313,False
base,0,1314,False
base,0,1315,False
base,0,1316,False
base,0,1317,False
base,0,1318,False
base,0,1319,False
base,0,1320,False
base,0,1321,False
base,0,1322,False
base,0,1323,False
base,0,1324,False
base,0,1325,False
base,0,1326,False
base,0,1327,False
base,0,1328,False
base,0,1329,False
base,0,1330,False
base,0,1331,False
base,0,1332,False
base,0,1333,False
base,0,1334,False
base,0,1335,False
base,0,1336,False
base,0,1337,False
base,0,1338,False
base,0,1339,False
base,0,1340,False
base,0,1341,False
base,0,1342,False
base,0,1343,False
base,0,1344,False
base,0,1345,False
base,0,1346,False
base,0,1347,False
base,0,1348,False
base,0,1349,False
base,0,1350,False
base,0,1351,False
base,0,1352,False
base,0,1353,False
base,0,1354,False
base,0,1355,False
base,0,1356,False
base,0,1357,False
base,0,1358,False
base,0,1359,False
base,0,1360,False
base,0,1361,False
base,0,1362,False
base,0,1363,False
base,0,1364,False
base,0,1365,False
base,0,1366,False
base,0,1367,False
base,0,1368,False
base,0,1369,False
base,0,1370,False
base,0,1371,False
base,0,1372,False
base,0,1373,False
base,0,1374,False
base,0,1375,False
base,0,1376,False
base,0,1377,False
base,0,1378,False
base,0,1379,False
base,0,1380,False
base,0,1381,False
base,0,1382,False
base,0,1383,False
base,0,1384,False
base,0,1385,False
base,0,1386,False
base,0,1387,False
base,0,1388,False
base,0,1389,False
base,0,1390,False
base,0,1391,False
base,0,1392,False
base,0,1393,False
base,0,1394,False
base,0,1395,False
base,0,1396,False
base,0,1397,False
base,0,1398,False
base,0,1399,False
base,0,1400,False
base,0,1401,False
base,0,1402,False
base,0,1403,False
base,0,1404,False
base,0,1405,False
base,0,1406,False
base,0,1407,False
base,0,1408,False
base,0,1409,False
base,0,1410,False
base,0,1411,False
base,0,1412,False
base,0,1413,False
base,0,1414,False
base,0,1415,False
base,0,1416,False
base,0,1417,False
base,0,1418,False
base,0,1419,False
base,0,1420,False
base,0,1421,False
base,0,1422,False
base,0,1423,False
base,0,1424,False
base,0,1425,False
base,0,1426,False
base,0,1427,False
base,0,1428,False
base,0,1429,False
base,0,1430,False
base,0,1431,False
base,0,1432,False
base,0,1433,False
base,0,1434,False
base,0,1435,False
base,0,1436,False
base,0,1437,False
base,0,1438,False
base,0,1439,False
base,0,1440,False
base,0,1441,False
base,0,1442,False
base,0,1443,False
base,0,1444,False
base,0,1445,False
base,0,1446,False
base,0,1447,False
base,0,1448,False
base,0,1449,False
base,0,1450,False
base,0,1451,False
base,0,1452,False
base,0,1453,False
base,0,1454,False
base,0,1455,False
base,0,1456,False
base,0,1457,False
base,0,1458,False
base,0,1459,False
base,0,1460,False
base,0,1461,False
base,0,1462,False
base,0,1463,False
base,0,1464,False
base,0,1465,False
base,0,1466,False
base,0,1467,False
base,0,1468,False
base,0,1469,False
base,0,1470,False
base,0,1471,False
base,0,1472,False
base,0,1473,False
base,0,1474,False
base,0,1475,False
base,0,1476,False
base,0,1477,False
base,0,1478,False
base,0,1479,False
base,0,1480,False
base,0,1481,False
base,0,1482,False
base,0,1483,False
base,0,1484,False
base,0,1485,False
base,0,1486,False
base,0,1487,False
base,0,1488,False
base,0,1489,False
base,0,1490,False
base,0,1491,False
base,0,1492,False
base,0,1493,False
base,0,1494,False
base,0,1495,False
base,0,1496,False
base,0,1497,False
base,0,1498,False
base,0,1499,False
base,1,0,False
base,1,1,False
base,1,2,False
base,1,3,False
base,1,4,False
base,1,5,False
base,1,6,False
base,1,7,False
base,1,8,False
base,1,9,False
base,1,10,False
base,1,11,False
base,1,12,False
base,1,13,False
base,1,14,False
base,1,15,False
base,1,16,False
base,1,17,False
base,1,18,False
base,1,19,False
base,1,20,False
base,1,21,False
base,1,22,False
base,1,23,False
base,1,24,False
base,1,25,False
base,1,26,False
base,1,27,False
base,1,28,False
base,1,29,False
base,1,30,False
base,1,31,False
base,1,32,False
base,1,33,False
